,bgn_utm,bulan,presipitasi,sm_smap,tmin,tmax,t,swr,et_era5,irrigation + pres,Provinsi,irigasi
30,D.I. Air Alas,2021-07,98.03,0.31967741935483873,23.194516129032284,28.425806451612935,25.70064516129035,563814380.0,128.96,272.5996533219485,Bengkulu,174.5696533219485
54,D.I. Air Keruh,2021-07,77.52,0.3506451612903226,19.553548387096797,27.063225806451634,22.797419354838738,548090686.88,122.55,259.92778750581175,Sumatera Selatan,182.40778750581177
78,D.I. Air Ketahun,2021-07,82.63,0.36967741935483867,18.177741935483894,25.53870967741938,21.219677419354863,534853108.35,118.72,276.3225464699474,Bengkulu,193.6925464699474
102,D.I. Air Lais Kuro Tidur,2021-07,106.97,0.33,21.7977419354839,28.155161290322603,24.69419354838712,549685815.38,121.88,293.9634611273747,Bengkulu,186.99346112737473
126,D.I. Air Lakitan,2021-07,76.87,0.3967741935483871,22.20741935483873,29.57064516129035,25.762903225806475,558503238.58,128.77,229.54247078811093,Sumatera Selatan,152.67247078811093
150,D.I. Air Nipis Seginim,2021-07,103.75,0.3332258064516129,21.750967741935504,28.142258064516152,24.787741935483897,555342373.45,123.35,273.43152915363186,Bengkulu,169.68152915363186
174,D.I. Air Seluma,2021-07,99.85,0.3267741935483871,22.9435483870968,28.791935483870997,25.626774193548407,563231207.42,130.96,293.59384731414065,Bengkulu,193.74384731414065
318,D.I. Antokan,2021-07,101.94,0.32451612903225807,21.72677419354841,27.719677419354866,24.33709677419357,570924452.6899999,127.07,305.1894138252632,Sumatera Barat,203.24941382526322
345,D.I. Aporo-Lambandia,2021-10,94.67999999999999,0.34,23.176451612903247,30.274193548387117,26.33161290322583,664639843.51,147.63,244.60880828050543,Sulawesi Tenggara,149.92880828050545
366,D.I. Asin Bawah,2021-07,22.13,0.3238709677419355,21.49677419354841,29.89838709677422,25.285161290322613,553281670.93,109.19,155.11609949557547,Jawa Timur,132.98609949557547
367,D.I. Asin Bawah,2021-08,16.130000000000003,0.27806451612903227,22.34903225806454,30.374838709677444,25.750645161290343,570462257.89,98.17,112.723852953656,Jawa Timur,96.59385295365601
368,D.I. Asin Bawah,2021-09,40.92,0.25966666666666666,22.980333333333355,30.800000000000022,26.08400000000002,583974486.91,99.19,102.56432516132769,Jawa Timur,61.644325161327686
378,D.I. Asin Bawah,2022-07,40.09,0.3374193548387097,21.871935483870992,29.463225806451643,25.211935483870988,520398771.79,106.64,172.3130672551629,Jawa Timur,132.2230672551629
379,D.I. Asin Bawah,2022-08,45.7,0.317741935483871,22.122258064516153,29.89806451612905,25.428387096774212,561635912.94,110.97999999999999,158.10348537371402,Jawa Timur,112.40348537371402
380,D.I. Asin Bawah,2022-09,43.54,0.3123333333333333,22.940666666666687,30.071333333333357,25.805333333333365,581251219.16,114.67,147.42520493299656,Jawa Timur,103.88520493299657
433,D.I. Bandar Sidoras,2021-02,43.63,0.3060714285714286,22.842500000000026,29.969285714285743,26.392500000000023,608492634.91,134.25,188.5402680823119,Sumatera Utara,144.91026808231192
444,D.I. Bandar Sidoras,2022-01,77.25,0.32064516129032256,22.82677419354841,29.216129032258088,25.718709677419387,556992518.45,131.12,238.91846427943503,Sumatera Utara,161.66846427943503
462,D.I. Banjarcahyana,2021-07,69.91,0.42677419354838714,21.322258064516152,28.004838709677443,24.497741935483894,537033052.18,115.91,260.32666519879024,Jawa Tengah,190.41666519879024
486,D.I. Bantarheulang,2021-07,51.48,0.3006451612903226,21.63612903225809,28.179032258064545,24.58612903225809,511156892.73,113.21000000000001,193.8256099039992,Jawa Barat,142.34560990399922
508,D.I. Bantimurung,2021-05,101.71000000000001,0.40225806451612905,24.61741935483873,29.226774193548408,26.763225806451636,521436089.93,119.47,315.3770842754619,Sulawesi Selatan,213.66708427546192
511,D.I. Bantimurung,2021-08,52.730000000000004,0.3335483870967742,23.879677419354863,28.697741935483897,26.182258064516155,561731759.61,122.93,181.12945676119952,Sulawesi Selatan,128.39945676119953
519,D.I. Bantimurung,2022-04,104.55,0.4063333333333333,24.647333333333354,28.76766666666669,26.67166666666669,560560746.62,126.94,306.8426050814734,Sulawesi Selatan,202.29260508147337
522,D.I. Bantimurung,2022-07,71.19,0.3783870967741936,23.823225806451635,28.493548387096794,25.971290322580668,482663523.06,107.41,242.87759240271185,Sulawesi Selatan,171.68759240271186
523,D.I. Bantimurung,2022-08,27.54,0.34516129032258064,23.71290322580648,28.907741935483887,26.13129032258067,578833069.68,126.28,188.3974867339477,Sulawesi Selatan,160.8574867339477
532,D.I. Banyuputih,2021-05,34.91,0.35580645161290325,23.415161290322608,30.872903225806475,26.750645161290343,608296580.0,104.55,126.5040789932941,Jawa Timur,91.5940789932941
534,D.I. Banyuputih,2021-07,15.620000000000001,0.3093548387096774,22.359354838709706,31.27870967741937,26.322580645161313,612925766.0,68.83,107.25400693397314,Jawa Timur,91.63400693397314
535,D.I. Banyuputih,2021-08,14.57,0.277741935483871,23.732258064516152,31.93645161290325,27.319677419354864,642376236.0,52.33,100.15284989334893,Jawa Timur,85.58284989334894
546,D.I. Banyuputih,2022-07,27.05,0.3258064516129032,22.698709677419377,30.194516129032287,25.940000000000026,584124678.0,109.07,112.11710328381275,Jawa Timur,85.06710328381276
547,D.I. Banyuputih,2022-08,16.3,0.2958064516129032,23.196774193548404,31.165161290322605,26.749677419354853,629514340.0,73.98,107.3415113112849,Jawa Timur,91.0415113112849
567,D.I. Baro Raya,2022-04,80.39,0.317,23.44766666666669,28.79033333333336,25.878333333333348,539983876.77,120.45,203.21602397010142,Aceh,122.82602397010142
580,D.I. Baru,2021-05,63.03,0.35096774193548386,23.546774193548416,28.57064516129035,25.789354838709702,606110283.21,101.57000000000001,212.3426788458184,Jawa Timur,149.3126788458184
582,D.I. Baru,2021-07,43.59,0.34161290322580645,22.678709677419373,27.4851612903226,24.76612903225809,584817596.4,92.09,194.8887512983402,Jawa Timur,151.2987512983402
583,D.I. Baru,2021-08,52.269999999999996,0.3258064516129032,22.621290322580666,27.219032258064537,24.59419354838712,619471630.78,98.09,170.79920738619506,Jawa Timur,118.52920738619507
594,D.I. Baru,2022-07,42.019999999999996,0.34290322580645166,22.67677419354841,26.704838709677446,24.439032258064543,568544365.57,115.51,195.8336600769456,Jawa Timur,153.8136600769456
595,D.I. Baru,2022-08,48.74,0.3258064516129032,22.44129032258067,27.1635483870968,24.51419354838712,609779191.55,100.83,170.28424361688636,Jawa Timur,121.54424361688635
630,D.I. Batang Anai,2021-07,129.31,0.4270967741935484,22.424193548387123,28.45580645161293,25.515806451612917,541258337.22,112.56,334.0068461678292,Sumatera Barat,204.69684616782922
654,D.I. Batang Angkola,2021-07,87.34,0.3403225806451613,20.50032258064518,27.44709677419357,23.522580645161316,531090295.41,121.5,234.5458856445735,Sumatera Utara,147.2058856445735
678,D.I. Batang Asai,2021-07,91.42,0.3464516129032258,22.99032258064518,29.824838709677444,26.129032258064534,550458273.69,123.83,231.03680097636564,Jambi,139.61680097636565
750,D.I. Batang Gadis,2021-07,91.11,0.3006451612903226,19.545806451612922,26.56806451612906,22.62096774193551,530673648.42,118.51,242.1111100516169,Sumatera Utara,151.00111005161688
797,D.I. Batang Ilung,2021-06,73.68,0.30066666666666664,22.377666666666688,29.977333333333362,25.754000000000023,531200286.74,123.63,189.63506543117734,Sumatera Utara,115.95506543117733
798,D.I. Batang Ilung,2021-07,52.44,0.2870967741935484,22.112903225806473,30.172580645161315,25.781290322580663,535040194.54,124.74,173.1729418507807,Sumatera Utara,120.73294185078069
822,D.I. Batang Inderapura,2021-07,135.54,0.9,21.851612903225828,28.375806451612927,24.93387096774196,540284399.76,121.12,351.40868026750456,Sumatera Barat,215.86868026750457
846,D.I. Batang Sinamar,2021-07,81.62,0.35419354838709677,19.304516129032283,27.864193548387124,23.433225806451638,539636394.38,109.31,230.93941438441243,Sumatera Barat,149.31941438441243
